名称,市場,33業種区分,17業種区分,売上高(百万円),営業利益(百万円),経常利益(百万円),当期利益(百万円),総資産(百万円),自己資本(百万円),資本金(百万円),有利子負債(百万円),時価総額(百万円),自己資本比率,ROE,ROA,発行済株式数
ナビタス,東証JQS,機械,機械 ,4031,99,121,-918,4385,2896,1075,7,2020,66,-27.19,-19.46,5722500
中日本興業,名証2部,サービス業,情報通信・サービスその他 ,4041,171,173,-49,5088,3702,270,132,5454,72.8,-1.32,-0.99,540000
岐阜造園,名証2部,建設業,建設・資材 ,4054,348,429,285,2885,1716,61,374,1960,59.5,17.87,10,1451800
アクトコール,マザーズ,サービス業,情報通信・サービスその他 ,4061,240,240,143,4769,837,292,1776,10013,17.6,18.25,2.57,7684200
アクモス,東証JQS,情報・通信業,情報通信・サービスその他 ,4062,146,158,143,2550,1415,693,383,3146,55.5,10.68,5.94,10215400
フィックスターズ,東証1部,情報・通信業,情報通信・サービスその他 ,4063,710,707,516,2604,2163,549,10,25573,83.1,25.77,20.05,6712000
TBグループ,東証2部,電気機器,電機・精密 ,4082,-301,-293,-317,2890,1892,3956,45,5178,65.5,-15.46,-9.32,87760588
共同ピーアール,東証JQS,サービス業,情報通信・サービスその他 ,4099,180,180,163,1784,781,419,426,1578,43.8,23.2,8.09,1260000
鴨川グランドホテル,東証JQS,サービス業,情報通信・サービスその他 ,4099,175,118,124,6459,1049,626,4046,3554,16.2,12.64,1.92,10453920
歌舞伎座,東証2部,サービス業,情報通信・サービスその他 ,4109,503,522,345,27436,11301,2365,626,68274,41.2,3.25,1.28,12170000
ジェイリース,マザーズ,その他金融業,金融（除く銀行） ,4121,337,312,220,5568,1063,705,1713,6869,19.1,32.69,4.62,4293200
櫻島埠頭,東証2部,倉庫・運輸関連業,運輸・物流 ,4129,11,54,7,6043,3748,770,1083,4019,62,0.19,0.12,15400000
